Name ,Province,Address
Bệnh viện Da liễu Trung ương   ,Hà Nội ,"15A Phương Mai, Quận Đống Đa, Hà Nội "
Bệnh viện Da liễu Hà Nội ,Hà Nội ,"79B Nguyễn Khuyến, Văn Miếu, Quận Đống Đa, Hà Nội"
Khoa Da liễu – Bệnh viện Bạch Mai ,Hà Nội ,"78 Giải Phóng, Phương Mai, Quận Đống Đa, Hà Nội"
Khoa Da liễu – Bệnh viện Trung ương Quân đội 108 ,Hà Nội ,"Số 1 Trần Hưng Đạo, Hai Bà Trưng, Hà Nội"
Khoa Da liễu – Bệnh viện Đại học Y Hà Nội ,Hà Nội ,"Số 1 Tôn Thất Tùng, Quận Đống Đa, Hà Nội"
Khoa Da liễu – Bệnh viện Đa khoa tỉnh Vĩnh Phúc ,Vĩnh Phúc,"Đường Lam Sơn, phường Tích Sơn, TP. Vĩnh Yên, Vĩnh Phúc"
Phòng khám Da liễu BS. Nguyễn Văn Hòa        ,Vĩnh Phúc,"Số 12 Nguyễn Tất Thành, TP. Vĩnh Yên, Vĩnh Phúc"
Phòng khám Da liễu BS. Trần Thị Thanh Huyền       ,Vĩnh Phúc,"Khu phố 1, phường Ngô Quyền, TP. Vĩnh Yên, Vĩnh Phúc"
Phòng khám Đa khoa Tâm Đức        ,Vĩnh Phúc,"Số 168 đường Mê Linh, TP. Vĩnh Yên, Vĩnh Phúc"
Trung tâm Y tế TP. Vĩnh Yên       ,Vĩnh Phúc," Đường Trần Phú, phường Liên Bảo, TP. Vĩnh Yên, Vĩnh Phúc"
Bệnh viện Da liễu Bắc Ninh     ,Bắc Ninh,"Số 109 đường Vua Bà, phường Hòa Long, TP. Bắc Ninh, Bắc Ninh"
Khoa Da liễu – Bệnh viện Đa khoa tỉnh Bắc Ninh      ,Bắc Ninh,"Đường Nguyễn Quyền, phường Võ Cường, TP. Bắc Ninh, Bắc Ninh"
Phòng khám Da liễu SkinMD        ,Bắc Ninh,"Số 288 Nguyễn Đăng Đạo, phường Đại Phúc, TP. Bắc Ninh, Bắc Ninh"
Phòng khám Da liễu BS. Nguyễn Thị Minh Phượng        ,Bắc Ninh,"Số 85 đường Nguyễn Đăng Đạo, TP. Bắc Ninh, Bắc Ninh"
Khoa Da liễu – Bệnh viện Quốc tế Hoàn Mỹ       ,Bắc Ninh," Phường Thị Cầu, TP. Bắc Ninh, Bắc Ninh"
Khoa Da liễu – Bệnh viện Bãi Cháy Khoa Da liễu,Quảng Ninh ,"Phường Giếng Đáy, TP. Hạ Long, Quảng Ninh"
Bệnh viện Đa khoa tỉnh Quảng Ninh ,Quảng Ninh ,"Đường Tuệ Tĩnh, phường Bạch Đằng, TP. Hạ Long, Quảng Ninh"
Bệnh viện Đa khoa Quốc tế Vinmec Hạ Long ,Quảng Ninh ,"Số 10A Lê Thánh Tông, TP. Hạ Long, Quảng Ninh"
Phòng khám Đa khoa Medlatec Hạ Long ,Quảng Ninh ,"C11 Khu đô thị Cao Xanh, phường Cao Xanh, TP. Hạ Long, Quảng Ninh"
Phòng khám Đa khoa Bãi Cháy,Quảng Ninh ," Số 680 đường Cái Dăm, phường Bãi Cháy, TP. Hạ Long, Quảng Ninh"
Khoa Da liễu – Bệnh viện Đa khoa tỉnh Hải Dương        ,Hải Dương,"Số 225 đường Thanh Niên, TP. Hải Dương, Hải Dương"
Phòng khám Da liễu BS. Nguyễn Văn Hòa        ,Hải Dương,"Số 12 đường Nguyễn Thị Duệ, TP. Hải Dương, Hải Dương"
Phòng khám Đa khoa Hồng Phúc        ,Hải Dương,"Số 160 đường Thanh Niên, TP. Hải Dương, Hải Dương"
Phòng khám Da liễu BS. Trần Thị Thanh Huyền        ,Hải Dương,"Khu 2, phường Nhị Châu, TP. Hải Dương, Hải Dương"
Trung tâm Y tế TP. Hải Dương        ,Hải Dương,"Số 1 đường Yết Kiêu, TP. Hải Dương, Hải Dương"
Bệnh viện Da liễu Hải Phòng        ,Hải Phòng,"140 Trần Phú, phường Cầu Đất, quận Ngô Quyền, Hải Phòng"
Khoa Da liễu – Bệnh viện Đa khoa Quốc tế Vinmec Hải Phòng       ,Hải Phòng,"Đường Võ Nguyên Giáp, phường Vĩnh Niệm, quận Lê Chân, Hải Phòng"
Khoa Da liễu – Bệnh viện Đa khoa Quốc tế Hải Phòng       ,Hải Phòng,"124 Nguyễn Đức Cảnh, phường Cát Dài, quận Lê Chân, Hải Phòn"
Phòng khám Đa khoa Green        ,Hải Phòng,"738 Nguyễn Văn Linh, phường Niệm Nghĩa, quận Lê Chân, Hải Phòng"
Phòng khám Da liễu BS. Nguyễn Thị Minh Phượng        ,Hải Phòng,"Số 85 đường Lê Lợi, quận Ngô Quyền, Hải Phòng"
Khoa Da liễu – Bệnh viện Đa khoa tỉnh Hưng Yên        ,Hưng Yên,"Đường Nguyễn Văn Linh, phường An Tảo, TP. Hưng Yên, Hưng Yên"
Phòng khám Da liễu BS. Nguyễn Văn Hòa        ,Hưng Yên,"Số 45 đường Bùi Thị Xuân, TP. Hưng Yên, Hưng Yên"
Phòng khám Đa khoa Tâm An        ,Hưng Yên,"Số 128 đường Hải Thượng Lãn Ông, TP. Hưng Yên, Hưng Yên"
Trung tâm Y tế TP. Hưng Yên       ,Hưng Yên," Đường Lê Lợi, phường Lê Lợi, TP. Hưng Yên, Hưng Yên"
Phòng khám Da liễu BS. Trần Thị Thanh Huyền        ,Hưng Yên,"Khu phố 3, phường Quang Trung, TP. Hưng Yên, Hưng Yên"
Bệnh viện Da liễu Thái Bình (Cơ sở 1)        ,Thái Bình ,"278 Trần Thánh Tông, phường Đề Thám, TP. Thái Bình, Thái Bình"
Khoa Da liễu – Bệnh viện Đa khoa tỉnh Thái Bình        ,Thái Bình ,"530 Lý Bôn, phường Quang Trung, TP. Thái Bình, Thái Bình"
Phòng khám Da liễu – Bệnh viện Đại học Y Thái Bình        ,Thái Bình ,"Đường Lê Quý Đôn, phường Trần Lãm, TP. Thái Bình, Thái Bình"
Phòng khám Da liễu BS. Hiền        ,Thái Bình ,"Số 72 đường Trần Hưng Đạo, phường Lê Hồng Phong, TP. Thái Bình, Thái Bình"
Phòng khám Da liễu BS. Tùng        ,Thái Bình ,"Số 45 đường Lê Đại Hành, phường Kỳ Bá, TP. Thái Bình, Thái Bình"
Bệnh viện Phong – Trung tâm Da liễu Hà Nam,Hà Nam,"108 Nguyễn Viết Xuân, P. Trần Hưng Đạo, TP. Phủ Lý, Hà Nam"
Phòng khám Da liễu – BS Thanh Huyền        ,Hà Nam,"538 Lý Thường Kiệt, P. Lê Hồng Phong, TP. Phủ Lý, Hà Nam"
Phòng khám Da liễu – BS Trần Thị Ngoan       ,Hà Nam,"105 Nguyễn Hữu Tiến, P. Đồng Văn, TX. Duy Tiên, Hà Nam"
Phòng khám Da liễu – BS Việt        ,Hà Nam,"Ngõ 170, đường Lê Công Thanh, P. Trần Hưng Đạo, TP. Phủ Lý, Hà Nam"
Phòng khám Da liễu – 219 Nguyễn Viết Xuân        ,Hà Nam,"219 Nguyễn Viết Xuân, P. Trần Hưng Đạo, TP. Phủ Lý, Hà Nam"
Trung tâm Thẩm mỹ Da liễu – Bệnh viện Đa khoa Sài Gòn Nam Định,Nam Định,"315 Trần Hưng Đạo, TP. Nam Định"
Bệnh viện Da liễu tỉnh Nam Định        ,Nam Định,"162–164 Trần Nhật Duật, P. Vị Xuyên, TP. Nam Định"
Phòng khám Da liễu – BS. Nguyễn Ngọc Chính       ,Nam Định,"190 Trần Nhật Duật, P. Trần Tế Xương, TP. Nam Định"
Phòng khám Da liễu – BS. Đỗ Thị Dung       ,Nam Định," 76 Phù Nghĩa, P. Hạ Long, TP. Nam Định"
