Skin types;Products;Product name;Image path;Product link
Normal skin;Cleanser;Hada Labo Advanced Cleanser;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Cleanser/Hada Labo Advanced Cleanser.png;
;;Senka Perfect Whip;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Cleanser/Senka Perfect Whip.png;
;;Kiehl’s Ultra Facial Cleanser;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Cleanser/Kiehl’s Ultra Facial Cleanser.png;
;Toner;Simple Soothing Toner;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Toner/Simple Soothing Toner.png;
;;Hada Labo Gokujyun Lotion;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Toner/Hada Labo Gokujyun Lotion.png;
;;Kiehl’s Calendula Herbal Extract Toner;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Toner/Kiehl’s Calendula Herbal Extract Toner.png;
;Serum;The Ordinary Hyaluronic Acid 2% + B5;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Serum/The Ordinary Hyaluronic Acid 2_ + B5.png;
;;Vichy Mineral 89;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Serum/Vichy Mineral 89.png;
;;Estee Lauder Advanced Night Repair;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Serum/Estee Lauder Advanced Night Repair.png;
;Sunscreen;Skin Aqua UV Essence;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Sunscreen/Skin Aqua UV Essence.png;
;;Anessa Moisture UV Sunscreen;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Sunscreen/Anessa Moisture UV Sunscreen.png;
;;Clarins UV Plus;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Sunscreen/Clarins UV Plus.png;
;Face mask;Vedette Clay Mask;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Face_mask/Vedette Clay Mask.png;
;;Innisfree My Real Squeeze Sheet Mask;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Face_mask/Innisfree My Real Squeeze Sheet Mask.png;
;;Lush Fresh Face Masks;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Face_mask/Lush Fresh Face Masks.png;
;Makeup remover;Byphasse Micellar Solution;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Makeup_remover/Byphasse Micellar Solution.png;
;;Bioderma H2O;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Makeup_remover/Bioderma H2O.png;
;;Shu Uemura Cleansing Oil;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Makeup_remover/Shu Uemura Cleansing Oil.png;
;Exxfoliant;St. Ives Apricot Scrub;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Exfoliant/St. Ives Apricot Scrub.png;
;;The Ordinary Glycolic Acid 7%;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Exfoliant/The Ordinary Glycolic Acid 7_.png;
;;Paula’s Choice AHA 8%;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Exfoliant/Paula’s Choice AHA 8_.png;
;Moisturizer;Nivea Soft Cream;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Moisturizer/Nivea Soft Cream.png;
;;Belif Aqua Bomb;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Moisturizer/Belif Aqua Bomb.png;
;;Kiehl’s Ultra Facial Cream;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Moisturizer/Kiehl’s Ultra Facial Cream.png;
Oily skin;Cleanser;Senka Perfect Whip Acne Care;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Cleanser/Senka Perfect Whip Acnes Care.png;
;;Cosrx Low pH Good Morning Gel Cleanser;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Cleanser/Cosrx Low pH Good Morning Gel Cleanser.png;
;;La Roche-Posay Effaclar Gel;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Cleanser/La Roche-Posay Effaclar Gel.png;
;Toner;Simple Soothing Facial Toner;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Toner/Simple Soothing Facial Toner.png;
;;Some By Mi AHA-BHA-PHA 30 Days Toner;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Toner/Some By Mi AHA-BHA-PHA 30 Days Toner.png;
;;Paula’s Choice Skin Balancing Toner;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Toner/Paula’s Choice Skin Balancing Toner.png;
;Serum;The Ordinary Niacinamide 10% + Zinc 1%;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Serum/The Ordinary Niacinamide 10_ + Zinc 1_.webp;
;;Innisfree Bija Cica Balm;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Serum/Innisfree Bija Cica Balm.png;
;;La Roche-Posay Effaclar Serum;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Serum/La Roche-Posay Effaclar Serum.png;
;Sunscreen;Skin Aqua UV Essence SPF50+;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Sunscreen/Skin Aqua UV Essence SPF50+.png;
;;Anessa Mild Milk;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Sunscreen/Anessa Mild Milk.png;
;;La Roche-Posay Anthelios UVMune 400 SPF50+;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Sunscreen/La Roche-Posay Anthelios UVMune 400 SPF50+.png;
;Face mask;Vedette Clay Mask;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Face_mask/Vedette Clay Mask.png;https://www.vedette.vn/mat-na-dat-set-vedette-than-hoat-tinh-145g-tpm282
;;Innisfree Super Volcanic Pore Clay Mask 2X;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Face_mask/Innisfree Super Volcanic Pore Clay Mask 2X.png;https://www.innisfree.vn/product/sieu-mat-na-dat-set-tro-nui-lua-giam-nhon,-thu-nho-lo-chan-long-innisfree-super-volcanic-pore-clay-mask-100ml/detail/43?srsltid=AfmBOopw_4AMvD1ITr9dE-hRraXFyroK0ffgopVBF_VdbCUar50R6iBB
;;Kiehl's Rare Earth Deep Pore Cleansing Masque;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Face_mask/Kiehl_s Rare Earth Deep Pore Cleansing Masque.png;https://www.kiehls.com.vn/vi_VN/mat-na-dat-set-rare-earth-deep-pore-cleansing-masque/792.html
;Makeup remover;Garnier Micellar Water;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Makeup_remover/Garnier Micellar Water.png;
;;Bioderma Sébium H2O;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Makeup_remover/Bioderma Sébium H2O.png;
;;La Roche-Posay Micellar Water Ultra Oily Skin;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Makeup_remover/La Roche-Posay Micellar Water Ultra Oily Skin.png;
;Exxfoliant;The Ordinary Glycolic Acid 7%;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Exfoliant/The Ordinary Glycolic Acid 7_.png;
;;Cosrx BHA Blackhead Power Liquid;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Exfoliant/Cosrx BHA Blackhead Power Liquid.png;
;;Paula’s Choice 2% BHA Liquid Exfoliant;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Exfoliant/Paula’s Choice 2_ BHA Liquid Exfoliant.png;
;Moisturizer;Hada Labo Advanced Nourish Gel;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Moisturizer/Hada Labo Advanced Nourish Gel.png;
;;Neutrogena Hydro Boost Water Gel;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Moisturizer/Neutrogena Hydro Boost Water Gel.png;
;;Clinique Dramatically Different Gel;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Moisturizer/Clinique Dramatically Different Gel.png;
