Skin types;Products;Product name;Image path;Product link
Normal skin;Cleanser;Hada Labo Advanced Cleanser;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Cleanser/Hada Labo Advanced Cleanser.png;
Normal skin;Cleanser;Senka Perfect Whip;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Cleanser/Senka Perfect Whip.png;
Normal skin;Cleanser;Kiehl’s Ultra Facial Cleanser;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Cleanser/Kiehl’s Ultra Facial Cleanser.png;
Normal skin;Toner;Simple Soothing Toner;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Toner/Simple Soothing Toner.png;
Normal skin;Toner;Hada Labo Gokujyun Lotion;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Toner/Hada Labo Gokujyun Lotion.png;
Normal skin;Toner;Kiehl’s Calendula Herbal Extract Toner;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Toner/Kiehl’s Calendula Herbal Extract Toner.png;
Normal skin;Serum;The Ordinary Hyaluronic Acid 2% + B5;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Serum/The Ordinary Hyaluronic Acid 2_ + B5.png;
Normal skin;Serum;Vichy Mineral 89;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Serum/Vichy Mineral 89.png;
Normal skin;Serum;Estee Lauder Advanced Night Repair;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Serum/Estee Lauder Advanced Night Repair.png;
Normal skin;Sunscreen;Skin Aqua UV Essence;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Sunscreen/Skin Aqua UV Essence.png;
Normal skin;Sunscreen;Anessa Moisture UV Sunscreen;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Sunscreen/Anessa Moisture UV Sunscreen.png;
Normal skin;Sunscreen;Clarins UV Plus;/Users/apple/Downloads/AI term project/Skincare_products/Normal_skin/Sunscreen/Clarins UV Plus.png;
