epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2162.36,1.93975,3.83442,3.31139,1.92244,0.57025,0.28955,0.32213,0.17193,0.57751,0.28994,0.30493,0.12924,2.16355,3.63624,3.46796,2.22519,0.000368353,0.000368353,0.000368353
2,4666.88,1.89864,3.40797,2.61675,1.84779,0.3388,0.37717,0.30228,0.09957,0.32825,0.36545,0.30098,0.09459,2.1832,3.42394,3.13987,2.29816,0.00072406,0.00072406,0.00072406
3,6521.79,1.92447,3.38409,2.39048,1.85759,0.51459,0.4438,0.44292,0.21038,0.59438,0.41207,0.46317,0.18406,2.07579,3.35151,2.51915,2.08467,0.0010651,0.0010651,0.0010651
4,8372.81,1.91197,3.32771,2.22912,1.82094,0.51369,0.48774,0.5008,0.266,0.503,0.47172,0.48299,0.20975,2.02715,3.33245,2.14279,2.03775,0.00104501,0.00104501,0.00104501
5,10226.1,1.84285,3.25284,2.08876,1.79211,0.69829,0.51924,0.60145,0.30025,0.7032,0.52357,0.58896,0.24818,1.97092,3.21509,1.87324,1.95142,0.00102301,0.00102301,0.00102301
6,12084.1,1.84602,3.2368,1.99436,1.76881,0.46952,0.51726,0.50255,0.24803,0.44401,0.4961,0.45433,0.17575,2.02846,3.38999,2.06115,2.04787,0.00100101,0.00100101,0.00100101
7,13942,1.80045,3.18403,1.95141,1.74987,0.64092,0.58482,0.63281,0.31628,0.60909,0.58081,0.63818,0.27179,1.92959,3.14583,1.73255,1.93421,0.000979013,0.000979013,0.000979013
8,15832.8,1.79519,3.16442,1.85918,1.73186,0.688,0.5707,0.60511,0.31139,0.69793,0.57327,0.60777,0.26558,1.94174,3.13801,1.90407,1.90495,0.000957015,0.000957015,0.000957015
9,17738.1,1.76419,3.15223,1.81222,1.719,0.67043,0.59317,0.65434,0.34053,0.67093,0.58688,0.64457,0.26897,1.87487,3.22008,1.63365,1.84387,0.000935018,0.000935018,0.000935018
10,19639.1,1.77613,3.11609,1.75885,1.70268,0.69756,0.62,0.67539,0.31319,0.67754,0.60559,0.65844,0.27379,2.00553,3.13392,1.69621,1.99396,0.00091302,0.00091302,0.00091302
